詞目id,義項id,詞性,解說
10765,14748,熟語,跟前跟後。
10827,14829,熟語,發誓不與敵人並立於天地之間，用來比喻仇恨極深。
10867,14884,熟語,形容女人帶有剋夫的命相。以前的人通常會以「鉸刀爿，鐵掃帚」來譏諷剋夫的女人。
11022,15091,熟語,塞手指間的縫隙，用來比喻些微之數。
11046,15116,熟語,慢慢來。叫人不要著急。
11092,15167,熟語,愁眉苦臉。形容憂傷、愁苦的神色。
11542,15769,熟語,指拉警報。
11542,15770,熟語,以前正午報時也會「霆水螺」，目的在通知眾人某事，和拉警報的響法不同。
11594,15832,熟語,形容一個人很吵雜，擾人清靜，多用來罵人。
11748,16031,熟語,裝傻。
11814,16118,熟語,比喻欺騙的手法很高明。
11841,16151,熟語,甜甜蜜蜜。
11865,16180,熟語,凸肚子短命鬼。咒罵人早死的用語。
11930,16266,熟語,為謀奪錢財而傷人性命。
12000,16363,熟語,隨便你。
12023,16391,熟語,見機行事、因時制宜。臨事能妥善變通處置。
12065,16454,熟語,頭暈目眩、頭昏眼花。頭腦昏沈，視覺模糊。
12335,16798,熟語,見機行事。指遇到事情，能用妥善方法加以處理、應付。
12343,16806,熟語,口口聲聲。
12372,16850,熟語,說大話、吹噓。
12642,17212,熟語,指專門在錢上鑽營。
12647,17218,熟語,拐彎抹角。比喻說話或做事不爽快。
12693,17279,熟語, 雙面人。比喻人陰險狡猾，善耍兩面手法。
13094,17779,熟語,指汙穢骯髒。
13125,17815,熟語,礙手礙腳。妨害別人做事，使人感到不便。
13150,17849,熟語,形容長得瘦但體格卻是結實強健。
13160,17859,熟語,固執的、頑固的、不信邪的。
13172,17875,熟語,招人討厭、嫌棄。
13173,17876,熟語,照顧三餐，引申為求溫飽。
13200,17911,熟語,形容曲折不直。
13200,17912,熟語,拐彎抹角。比喻說話或做事不直截了當。
13391,18171,熟語,瞻前顧後、兼顧前後。比喻做事謹慎周密。
13474,18278,熟語,很會挑選最好的，引申為鑽營求取利益。
13598,18450,熟語,爬上爬下。
13627,18482,熟語,縮手縮腳、畏首畏尾。
13628,18483,熟語,反覆無常。
13632,18487,熟語,高抬貴手。
13635,18490,熟語,洪水造成的山坡崩塌。
13638,18493,熟語,死棋。象棋規則中王不見王，一旦王見王，便可直接飛過去吃掉對方的王，因此稱「王見王」為「死棋」，有時亦引申為「死期」。
13658,18518,熟語,含血噴人。用不實的指控、惡毒的言語誣蔑陷害人。
13680,18543,熟語,太過操心。
13693,18557,熟語,資本負擔重。
13694,18558,熟語,吃大餐、享受美食。
13701,18566,熟語,摸不著頭緒、不得要領。
13705,18570,熟語,非常疼惜。
13718,18586,熟語,喝醉酒。
13732,18601,熟語,眾人皆知。
13734,18603,熟語,叫人起來、躺下去。
13734,18604,熟語,指揮、命令。發號施令，指揮全局。
13742,18613,熟語,刻薄又沒良心。
13743,18614,熟語,難為情。
13743,18615,熟語,可憐。
13744,18616,熟語,不划算。
13773,18647,熟語,記得。
13785,18661,熟語,手腳麻痺。
13795,18674,熟語,竹子或甘蔗的節與節之間的距離較短。
13805,18686,熟語,划算、划得來。
13831,18715,熟語,出嫁的女兒結婚後第三日或十二日第一次回娘家。
13843,18728,熟語,孩子長大，父母不需要再全心照顧了。
13870,18760,熟語,每次所說或所做都不曾失誤。非常精準、準確。
13874,18764,熟語,大塊頭。形容人的身材高大。
13884,18776,熟語,老大不小。常用來指責人行為舉止不夠成熟。
13884,18777,熟語,指責舉止不像成人的成人。
13888,18783,熟語,指人嫌少不嫌多的個性。
13891,18787,熟語,身懷六甲、大腹便便。形容懷孕的女人行動變得遲緩不方便的樣子。
13891,18788,熟語,指懷孕的人最須呵護，所以凡事要幫她弄得好好的，不該讓她做粗活。
13898,18796,熟語,形容說話的聲音很大。
13898,18797,熟語,大嗓門。指說話聲音響亮的人。
13909,18814,熟語,天地間原本如此而不容改變的道理。非常公平公道。
13916,18821,熟語,心急如焚。
13916,18822,熟語,過度熱衷於某事物，不能自已。
13917,18823,熟語,心花怒放、心情愉悅。
13918,18824,熟語,悶悶不樂。
