詞目id,詞目類型,漢字,羅馬字,分類
19749,近反義詞不單列詞目者,原仔,uân-á,
19750,近反義詞不單列詞目者,一戶,,
19751,近反義詞不單列詞目者,大段,tāi-tuān,
19752,近反義詞不單列詞目者,大食,tuā-tsia̍h,
19753,近反義詞不單列詞目者,山空仔,,
19754,近反義詞不單列詞目者,蒜茸枝,,
19755,近反義詞不單列詞目者,索仔股,,
19756,近反義詞不單列詞目者,索仔條,,
19757,近反義詞不單列詞目者,半上路下,,
19758,近反義詞不單列詞目者,半中途,,
19759,近反義詞不單列詞目者,本居,,
19760,近反義詞不單列詞目者,本籍,,
19761,近反義詞不單列詞目者,伨重,,
19762,近反義詞不單列詞目者,考試紙,,
19763,近反義詞不單列詞目者,含血噴天,kâm-hueh-phùn-thinn,
19764,近反義詞不單列詞目者,十扳仔,,
19765,近反義詞不單列詞目者,死扳仔,,
19766,近反義詞不單列詞目者,活扳仔,,
19767,近反義詞不單列詞目者,沙耙仔,,
19768,近反義詞不單列詞目者,夾鼎,kiap-tiánn,
19769,近反義詞不單列詞目者,夾鍋,kiap-ue,
19770,近反義詞不單列詞目者,逐項代誌,,
19771,近反義詞不單列詞目者,擦仔,tshat-á,
19772,近反義詞不單列詞目者,石拭仔,tsio̍h-tshit-á,
19773,近反義詞不單列詞目者,消防車,,
19774,近反義詞不單列詞目者,消防組車,,
19775,近反義詞不單列詞目者,明呼明唱,bîng-hoo bîng-tshiàng,
19776,近反義詞不單列詞目者,雨捽仔,hōo-sut-á,
19777,近反義詞不單列詞目者,雨抿仔,,
19778,近反義詞不單列詞目者,巷仔頭,,
19779,近反義詞不單列詞目者,後回,āu-huê,
19780,近反義詞不單列詞目者,禮拜六,,
19781,近反義詞不單列詞目者,擲掉,,
19782,近反義詞不單列詞目者,輕本,,
19783,近反義詞不單列詞目者,一個外月,,
19784,近反義詞不單列詞目者,一月外日,,
19785,近反義詞不單列詞目者,捎無頭摠,,
19786,近反義詞不單列詞目者,捎無摠頭,,
19787,近反義詞不單列詞目者,香奠,,
19788,近反義詞不單列詞目者,會赴,,
19789,近反義詞不單列詞目者,會赴市,,
19790,近反義詞不單列詞目者,落帆,,
19791,近反義詞不單列詞目者,高長四壯,ko-tshiâng  sì-tsàng,
19792,近反義詞不單列詞目者,穿榫,tshīng-sún,
19793,近反義詞不單列詞目者,彈繩,,
19794,近反義詞不單列詞目者,接尪,tsih-ang,
19795,近反義詞不單列詞目者,送尪,,
19796,近反義詞不單列詞目者,穩仔冬,ún-á-tang,
19797,近反義詞不單列詞目者,穩冬,,
19798,近反義詞不單列詞目者,十月冬,,
19799,近反義詞不單列詞目者,下冬,ē-tang,
19801,近反義詞不單列詞目者,冰的,,
19802,近反義詞不單列詞目者,燒的,,
19803,近反義詞不單列詞目者,敆釉,kap-iu,
19804,近反義詞不單列詞目者,清井,,
19805,近反義詞不單列詞目者,繁華都市,,
19806,近反義詞不單列詞目者,終歸尾,,
19807,近反義詞不單列詞目者,戰甲蟲,,
19808,近反義詞不單列詞目者,獨角龜仔,,
19809,近反義詞不單列詞目者,獨角金龜,,
19810,近反義詞不單列詞目者,驚一趒,,
19811,近反義詞不單列詞目者,棧房,,
19812,近反義詞不單列詞目者,無捨無施,bô-siá-bô-sì,
19813,近反義詞不單列詞目者,會和,,
19814,近反義詞不單列詞目者,發財仔,,
19815,近反義詞不單列詞目者,起輦,,
19816,近反義詞不單列詞目者,過年錢,,
19817,近反義詞不單列詞目者,窗簾仔,,
19818,近反義詞不單列詞目者,窗仔門簾,,
19819,近反義詞不單列詞目者,筊窟,,
19820,近反義詞不單列詞目者,跋筊場,,
19821,近反義詞不單列詞目者,賣菜的,,
19822,近反義詞不單列詞目者,無閒人,,
19823,近反義詞不單列詞目者,塗粉仔,,
19824,近反義詞不單列詞目者,塗沙粉仔,,
19825,近反義詞不單列詞目者,塗肉,,
19826,近反義詞不單列詞目者,爛溝仔糜,,
19827,近反義詞不單列詞目者,塗糊糜,,
19828,近反義詞不單列詞目者,新年頭,,
19829,近反義詞不單列詞目者,年尾兜,,
19830,近反義詞不單列詞目者,舊年尾,,
19831,近反義詞不單列詞目者,坐不是,tsē-put-sī/tshē-put-sī/tshē-put-sī/tsē-put-sī,
19832,近反義詞不單列詞目者,會不是,,
19833,近反義詞不單列詞目者,煞尾的,,
19834,近反義詞不單列詞目者,實頭實腦,,
19835,近反義詞不單列詞目者,親家門風,,
19836,近反義詞不單列詞目者,門風相對,,
19837,近反義詞不單列詞目者,做正經,,
19838,近反義詞不單列詞目者,車輪粿,,
19839,近反義詞不單列詞目者,紅豆餅,,
19840,近反義詞不單列詞目者,糕仔印,,
19841,近反義詞不單列詞目者,蔭瓜,,
19842,近反義詞不單列詞目者,褒囉唆,,
19843,近反義詞不單列詞目者,米血,,
19844,近反義詞不單列詞目者,湳仔,,
19845,近反義詞不單列詞目者,湳地,,
19846,近反義詞不單列詞目者,貓貓看,,
19847,近反義詞不單列詞目者,頭倒客,,
19848,近反義詞不單列詞目者,唏嚇叫,,
19849,近反義詞不單列詞目者,跙冰,,
19850,近反義詞不單列詞目者,懶相,nuā siùnn ,
19851,近反義詞不單列詞目者,白布條,,
19852,近反義詞不單列詞目者,鰇魚絲,,
19853,近反義詞不單列詞目者,鹹梅仔,,
19854,近反義詞不單列詞目者,梅仔干,,
19855,近反義詞不單列詞目者,建古,,
19856,近反義詞不單列詞目者,徼兆,khiàu-tiāu,
19857,近反義詞不單列詞目者,漚熱,áu-jua̍h,
19858,近反義詞不單列詞目者,漚熱,àu-jua̍h,
19859,近反義詞不單列詞目者,漚翕,,
19860,近反義詞不單列詞目者,齷齪熱,,
19861,近反義詞不單列詞目者,麵線雨,,
19862,近反義詞不單列詞目者,菜母,,
19863,近反義詞不單列詞目者,鹹淘,kiâm-tuâ,
19864,近反義詞不單列詞目者,臭肉鰮,,
19865,近反義詞不單列詞目者,干仔,,
19866,近反義詞不單列詞目者,空間,khang-king,
19868,近反義詞不單列詞目者,一大片,tsi̍t-tuā-phìnn,
19869,近反義詞不單列詞目者,準準準,,
19870,近反義詞不單列詞目者,人份,,
19872,近反義詞不單列詞目者,馬耳東風,má-ní-tong-hong,
19873,近反義詞不單列詞目者,三角肩,sann-kak-king,
19874,近反義詞不單列詞目者,上頭,,
19875,近反義詞不單列詞目者,下晝飯,,
19876,近反義詞不單列詞目者,大母人大母種,tuā-bú-lâng-tuā-bú-tsíng,
19877,近反義詞不單列詞目者,大錢,,
19878,近反義詞不單列詞目者,大張,,
19879,近反義詞不單列詞目者,大身命,tuā-sin-miā,
19880,近反義詞不單列詞目者,大注錢,,
19881,近反義詞不單列詞目者,同門的,,
19882,近反義詞不單列詞目者,大細仙,,
19883,近反義詞不單列詞目者,大聲野喉,tuā-siann-iá-âu,
19884,近反義詞不單列詞目者,跤仙,,
19885,近反義詞不單列詞目者,白扇仔,,
19886,近反義詞不單列詞目者,山尾仔,,
19887,近反義詞不單列詞目者,白跤擛仔,,
19888,近反義詞不單列詞目者,山馬仔,,
19889,近反義詞不單列詞目者,中範仔,,
19890,近反義詞不單列詞目者,中範仔,,
19891,近反義詞不單列詞目者,反供,,
19892,近反義詞不單列詞目者,翻口供,,
19893,近反義詞不單列詞目者,反相,,
19894,近反義詞不單列詞目者,正種,,
19895,近反義詞不單列詞目者,直理直路,,
19896,近反義詞不單列詞目者,頭擴,,
19897,近反義詞不單列詞目者,少年的,,
19898,近反義詞不單列詞目者,濟歲,,
19899,近反義詞不單列詞目者,心狂燥熱,sim-kông-sò-jia̍t,
19900,近反義詞不單列詞目者,手蹄賤,,
19901,近反義詞不單列詞目者,歹手癖,,
19902,近反義詞不單列詞目者,手後彎,,
19903,近反義詞不單列詞目者,手後蹬,,
19904,近反義詞不單列詞目者,手縫疏,tshiú-phāng se,
19905,近反義詞不單列詞目者,月戴笠,gue̍h tì-le̍h,
19906,近反義詞不單列詞目者,歹彩頭,,
19907,近反義詞不單列詞目者,歹頭彩,,
19908,近反義詞不單列詞目者,好吉兆,,
19909,近反義詞不單列詞目者,好頭彩,,
19910,近反義詞不單列詞目者,黃酸囡仔,,
19911,近反義詞不單列詞目者,水秤,suí-tshìn,
19912,近反義詞不單列詞目者,水平尺,,
19913,近反義詞不單列詞目者,水窟,,
19914,近反義詞不單列詞目者,水垢,tsuí-káu,
19915,近反義詞不單列詞目者,水濺,,
19916,近反義詞不單列詞目者,機關車,,
19917,近反義詞不單列詞目者,牛角𨂿,,
19918,近反義詞不單列詞目者,牛犅𨂿,gû-káng-uainnh,
19919,近反義詞不單列詞目者,水牛,suí-gû,
19920,近反義詞不單列詞目者,水牛犅,tsuí-gû-káng,
19921,近反義詞不單列詞目者,山牛犅,suann-gû-káng,
19922,近反義詞不單列詞目者,牛鼻環,gû-phīnn-khuân,
19923,近反義詞不單列詞目者,牛鼻圈仔,gû-phīnn-khian-á,
19924,近反義詞不單列詞目者,牛聲馬吼,,
19925,近反義詞不單列詞目者,牛聲馬叫,,
19926,近反義詞不單列詞目者,冬瓜酥,,
19927,近反義詞不單列詞目者,𫝛心,siāng-sim,
19928,近反義詞不單列詞目者,仝勻,kāng-ûn,
19929,近反義詞不單列詞目者,仝輩,kāng-puè,
19930,近反義詞不單列詞目者,頂下沿,,
19931,近反義詞不單列詞目者,書店,tsu-tiàm,
19932,近反義詞不單列詞目者,書局,,
19933,近反義詞不單列詞目者,苴枋,,
19934,近反義詞不單列詞目者,東粉,,
19935,近反義詞不單列詞目者,出腳,tshut-kioh,
19936,近反義詞不單列詞目者,軟母仔,,
19937,近反義詞不單列詞目者,破病丁,,
19938,近反義詞不單列詞目者,病猴,,
19939,近反義詞不單列詞目者,往回,,
19940,近反義詞不單列詞目者,司公象桮結相黏,,
19941,近反義詞不單列詞目者,童乩桌頭,,
19942,近反義詞不單列詞目者,褲帶結相黏,,
19943,近反義詞不單列詞目者,外庄頭,,
19944,近反義詞不單列詞目者,本埠,,
19945,近反義詞不單列詞目者,央叫,,
19946,近反義詞不單列詞目者,布尾,,
19947,近反義詞不單列詞目者,拖布,,
19948,近反義詞不單列詞目者,布拖仔,,
19949,近反義詞不單列詞目者,假範,ké-pān,
19950,近反義詞不單列詞目者,尾帖藥,,
19951,近反義詞不單列詞目者,拍拚藥,,
19952,近反義詞不單列詞目者,目赤,,
19953,近反義詞不單列詞目者,目紅,,
19954,近反義詞不單列詞目者,目睭掩,ba̍k-tsiu-iám,
19955,近反義詞不單列詞目者,走胎,tsáu-thai,
19956,近反義詞不單列詞目者,冰絞,ping-ká,
19957,近反義詞不單列詞目者,囡仔王,,
19958,近反義詞不單列詞目者,囡仔頭,,
19959,近反義詞不單列詞目者,在室男,,
19960,近反義詞不單列詞目者,有膽,,
19961,近反義詞不單列詞目者,有膽量,,
19962,近反義詞不單列詞目者,現挽的,,
19963,近反義詞不單列詞目者,在欉黃的,,
19964,近反義詞不單列詞目者,在欉紅的,,
19965,近反義詞不單列詞目者,隱的,,
19966,近反義詞不單列詞目者,歹事,,
19967,近反義詞不單列詞目者,歹份,,
19968,近反義詞不單列詞目者,歹看頭,,
19969,近反義詞不單列詞目者,間格,king-keh,
19970,近反義詞不單列詞目者,造作,tsō-tsok,
19971,近反義詞不單列詞目者,合作,kap-tsoh,
19972,近反義詞不單列詞目者,羅漢跤,,
19973,近反義詞不單列詞目者,死翹翹,,
19974,近反義詞不單列詞目者,百百種,,
19975,近反義詞不單列詞目者,竹部,tik-phō,
19976,近反義詞不單列詞目者,店頭厝,,
19977,近反義詞不單列詞目者,肉屑,bah-sut,
19978,近反義詞不單列詞目者,零星肉,lân-san-bah,
19979,近反義詞不單列詞目者,繭仔,,
19980,近反義詞不單列詞目者,肉卷,bah-kńg,
19981,近反義詞不單列詞目者,網紗卷,,
19982,近反義詞不單列詞目者,計程仔,,
19983,近反義詞不單列詞目者,叫客的,,
19984,近反義詞不單列詞目者,營業車,,
19985,近反義詞不單列詞目者,行船客,,
19986,近反義詞不單列詞目者,佗落仔,,
19987,近反義詞不單列詞目者,香櫞,hiunn-înn,
19988,近反義詞不單列詞目者,凊嗽,tshìn-sàu,
19989,近反義詞不單列詞目者,盍會,,
19990,近反義詞不單列詞目者,梳妝打扮,,
19991,近反義詞不單列詞目者,孝尾,hà-bué/hà-bé,
19992,近反義詞不單列詞目者,孝尾仔,,
19993,近反義詞不單列詞目者,孝尾仔囝,,
19994,近反義詞不單列詞目者,李仔糖,,
19995,近反義詞不單列詞目者,鳥梨仔攕,,
19996,近反義詞不單列詞目者,鳥梨仔糖,,
19997,近反義詞不單列詞目者,久久仔,,
19998,近反義詞不單列詞目者,見功效,kìnn-kong-hāu,
19999,近反義詞不單列詞目者,閃無路,,
20000,近反義詞不單列詞目者,鬥走,tàu-tsáu,
20001,近反義詞不單列詞目者,偷走學,,
20002,近反義詞不單列詞目者,走書,tsáu-tsu,
20003,近反義詞不單列詞目者,身苦病疼,,
20004,近反義詞不單列詞目者,車箱仔,,
20005,近反義詞不單列詞目者,五根草,,
20006,近反義詞不單列詞目者,卸世上,sià-sì-tsiūnn,
20007,近反義詞不單列詞目者,噗噗跳,,
20008,近反義詞不單列詞目者,咇噗惝,,
20009,近反義詞不單列詞目者,噗噗惝,,
20010,近反義詞不單列詞目者,孤孀,koo-sng,
20011,近反義詞不單列詞目者,孤雞仔,,
20012,近反義詞不單列詞目者,彼當陣仔,,
20013,近反義詞不單列詞目者,向陣仔,hiàng-tsūn-á,
20014,近反義詞不單列詞目者,現主時,,
20015,近反義詞不單列詞目者,倒勼,,
20016,近反義詞不單列詞目者,拔骨,pue̍h-kut,
20017,近反義詞不單列詞目者,抾肥肉,,
20018,近反義詞不單列詞目者,抾便的,,
20019,近反義詞不單列詞目者,講較白咧,,
20020,近反義詞不單列詞目者,拍鳥帽仔,,
20021,近反義詞不單列詞目者,開銃,,
20022,近反義詞不單列詞目者,果子栽仔,,
20023,近反義詞不單列詞目者,載貨車,,
20024,近反義詞不單列詞目者,拍速車,,
20025,近反義詞不單列詞目者,文車,,
20026,近反義詞不單列詞目者,幼米粉,,
20027,近反義詞不單列詞目者,竹筒粿,,
20028,近反義詞不單列詞目者,痟貓,siáu-niau,
20029,近反義詞不單列詞目者,癡思夢想,,
20030,近反義詞不單列詞目者,烏白想,,
20031,近反義詞不單列詞目者,空厝,,
20032,近反義詞不單列詞目者,花蛤,,
20033,近反義詞不單列詞目者,金閃閃,,
20034,近反義詞不單列詞目者,金爍爍,,
20035,近反義詞不單列詞目者,門埕,,
20036,近反義詞不單列詞目者,前埕,,
20037,近反義詞不單列詞目者,頭前埕,,
20038,近反義詞不單列詞目者,後埕,,
20039,近反義詞不單列詞目者,後壁埕,,
20040,近反義詞不單列詞目者,後尾埕,,
20041,近反義詞不單列詞目者,丁蘭尺,,
20042,近反義詞不單列詞目者,門下臼,mn̂g-ē-khū,
20043,近反義詞不單列詞目者,門下栿,mn̂g-ē-ho̍k/mn̂g-ē-pha̍k,
20044,近反義詞不單列詞目者,便印仔,,
20045,近反義詞不單列詞目者,入門踏戶,,
20046,近反義詞不單列詞目者,品捧,,
20047,近反義詞不單列詞目者,品寶,,
20048,近反義詞不單列詞目者,滿員,buán-uân,
20049,近反義詞不單列詞目者,歹面腔,,
20050,近反義詞不單列詞目者,外行的,,
20051,近反義詞不單列詞目者,外行人,,
20052,近反義詞不單列詞目者,硩紙,,
20053,近反義詞不單列詞目者,挂墓紙,,
20054,近反義詞不單列詞目者,做針黹,,
20055,近反義詞不單列詞目者,失頓枵飢,,
20056,近反義詞不單列詞目者,枵了過飢,,
20057,近反義詞不單列詞目者,竭仔頭,kia̍t-á-thâu,
20058,近反義詞不單列詞目者,竭仔哥,kia̍t-á-ko,
20059,近反義詞不單列詞目者,柿霜粉,khī-song-hún,
20060,近反義詞不單列詞目者,流汗糝滴,,
20061,近反義詞不單列詞目者,汗流汁滴,,
20062,近反義詞不單列詞目者,為非作歹,uî-hui-tsok-tái,
20063,近反義詞不單列詞目者,相揣坐,,
20064,近反義詞不單列詞目者,發財樹,,
20065,近反義詞不單列詞目者,苦倚,,
20066,近反義詞不單列詞目者,石頭倚,,
20067,近反義詞不單列詞目者,齊頭倚,,
20068,近反義詞不單列詞目者,慘齣,,
20069,近反義詞不單列詞目者,限時的,,
20070,近反義詞不單列詞目者,普通批,,
20071,近反義詞不單列詞目者,平信,pîng-sìn,
20072,近反義詞不單列詞目者,人面冊,,
20073,近反義詞不單列詞目者,香瓜仔,,
20074,近反義詞不單列詞目者,正拗,,
20075,近反義詞不單列詞目者,師傅工,,
20076,近反義詞不單列詞目者,時鐘瓜,sî-tsing-kue,
20077,近反義詞不單列詞目者,滷熟肉,lóo-sio̍k-bah,
20078,近反義詞不單列詞目者,花點龜仔,,
20079,近反義詞不單列詞目者,病底,,
20080,近反義詞不單列詞目者,眩車藥仔,,
20082,近反義詞不單列詞目者,笑吻吻,tshiò-bún-bún,
20083,近反義詞不單列詞目者,爆笑劇,,
20084,近反義詞不單列詞目者,bí-lí-kue,,
20085,近反義詞不單列詞目者,thoo-khé-soh,,
20086,近反義詞不單列詞目者,笑bui-bui,,
20087,近反義詞不單列詞目者,笑bun-bun,,
20088,近反義詞不單列詞目者,草子,,
20089,近反義詞不單列詞目者,庄跤倯,,
20090,近反義詞不單列詞目者,內山倯,,
20091,近反義詞不單列詞目者,臺北倯,,
20092,近反義詞不單列詞目者,市內倯,,
20093,近反義詞不單列詞目者,草垺,tsháu-pû,
20094,近反義詞不單列詞目者,草堆,,
20095,近反義詞不單列詞目者,虛身荏底,hi-sin-lám-té,
20096,近反義詞不單列詞目者,勇身命,,
20097,近反義詞不單列詞目者,袂曉通衰,,
20098,近反義詞不單列詞目者,袂曉見笑,,
20099,近反義詞不單列詞目者,袂見袂笑,,
20100,近反義詞不單列詞目者,毋知見笑,,
20101,近反義詞不單列詞目者,起跤lōng,,
20102,近反義詞不單列詞目者,起豹風,,
20103,近反義詞不單列詞目者,起酒狂,,
20104,近反義詞不單列詞目者,滾蛟躘,,
20105,近反義詞不單列詞目者,大海漲,,
20106,近反義詞不單列詞目者,水退,,
20107,近反義詞不單列詞目者,飽流,pá-lâu,
20108,近反義詞不單列詞目者,酒女,,
20109,近反義詞不單列詞目者,酒家女,,
20110,近反義詞不單列詞目者,馬蹄糋,,
20111,近反義詞不單列詞目者,飛烏虎,,
20112,近反義詞不單列詞目者,做旱,tsò-uānn,
20113,近反義詞不單列詞目者,做sa-khú-lah,,
20114,近反義詞不單列詞目者,鉸刀蟲,,
20115,近反義詞不單列詞目者,鉸刀龜仔,,
20116,近反義詞不單列詞目者,剪絨,,
20117,近反義詞不單列詞目者,剪絨花,,
20118,近反義詞不單列詞目者,剪蟲仔,,
20119,近反義詞不單列詞目者,剪蚻,tsián-tsua̍h,
20120,近反義詞不單列詞目者,冊龜仔,,
20121,近反義詞不單列詞目者,寄居,,
20122,近反義詞不單列詞目者,寄蹛,,
20123,近反義詞不單列詞目者,寄徛,,
20124,近反義詞不單列詞目者,小定,,
20125,近反義詞不單列詞目者,小聘,,
20126,近反義詞不單列詞目者,跋馬,pua̍h-bé,
20127,近反義詞不單列詞目者,跋落馬,pua̍h-lo̍h-bé,
20128,近反義詞不單列詞目者,日欲晝,,
20129,近反義詞不單列詞目者,踮空龜,tiàm-khang-ku,
20130,近反義詞不單列詞目者,鼓井水雞,,
20131,近反義詞不單列詞目者,井底鮕鮘,,
20132,近反義詞不單列詞目者,涼腔仔話,,
20133,近反義詞不單列詞目者,白米飯,,
20134,近反義詞不單列詞目者,鈍跤鈍手,tūn-kha-tūn-tshiú,
20135,近反義詞不單列詞目者,跤手慢鈍,,
20136,近反義詞不單列詞目者,跤手扭掠,,
20137,近反義詞不單列詞目者,閣來,,
20138,近反義詞不單列詞目者,規家口仔,,
20139,近反義詞不單列詞目者,一箍人,,
20140,近反義詞不單列詞目者,結嚾結黨,kiat-uang-kiat-tóng,
20141,近反義詞不單列詞目者,準若,tsún-nā,
20143,近反義詞不單列詞目者,石女,,
20144,近反義詞不單列詞目者,鈍市,,
20145,近反義詞不單列詞目者,利市,lī-tshī,
20146,近反義詞不單列詞目者,摻濫,tsham-lām,
20147,近反義詞不單列詞目者,頂下歲仔,,
20148,近反義詞不單列詞目者,殕的,,
20149,近反義詞不單列詞目者,雙仁潤,,
20150,近反義詞不單列詞目者,博土,phok-thóo,
20151,近反義詞不單列詞目者,入戶口,,
20152,近反義詞不單列詞目者,入家甲,,
20153,近反義詞不單列詞目者,毒心,ta̍k-sim,
20154,近反義詞不單列詞目者,墮胎,tuī-thai,
20155,近反義詞不單列詞目者,斑芝樹,,
20156,近反義詞不單列詞目者,殘殘脆脆,,
20157,近反義詞不單列詞目者,無塊通,,
20158,近反義詞不單列詞目者,有塊,ū-tè,
20159,近反義詞不單列詞目者,大埕,,
20160,近反義詞不單列詞目者,灰埕,,
20161,近反義詞不單列詞目者,宅仔,,
20162,近反義詞不單列詞目者,著等,tio̍h-tíng,
20163,近反義詞不單列詞目者,中獎,tiòng-tsióng,
20164,近反義詞不單列詞目者,窮貨底,,
20165,近反義詞不單列詞目者,賣主,,
20166,近反義詞不單列詞目者,閒煩惱,,
20167,近反義詞不單列詞目者,耐命,,
20168,近反義詞不單列詞目者,脆命,tshè-miā,
20169,近反義詞不單列詞目者,寬行,khuann-kiânn,
20170,近反義詞不單列詞目者,黃目樹,,
20171,近反義詞不單列詞目者,媽祖娘,,
20172,近反義詞不單列詞目者,扶後跤,phôo-āu-kha,
20173,近反義詞不單列詞目者,頓胸坎,,
20175,近反義詞不單列詞目者,越唸,ua̍t-liām,
20176,近反義詞不單列詞目者,暗記,àm-kì,
20177,近反義詞不單列詞目者,坐不是,tshē-put-sī/tsē-put-sī,
20178,近反義詞不單列詞目者,會不是,,
20179,近反義詞不單列詞目者,會當過,,
20180,近反義詞不單列詞目者,袂當過,,
20181,近反義詞不單列詞目者,會仔跤,,
20182,近反義詞不單列詞目者,上班日,,
20183,近反義詞不單列詞目者,上班時間,,
20184,近反義詞不單列詞目者,準煞,,
20185,近反義詞不單列詞目者,煞了代,suah-liáu-tāi,
20191,近反義詞不單列詞目者,懸大,,
20192,近反義詞不單列詞目者,忍尿,lún-jiō,
20193,近反義詞不單列詞目者,萬底深坑,,
20194,近反義詞不單列詞目者,無底深坑,,
20195,近反義詞不單列詞目者,萬不二,,
20196,近反義詞不單列詞目者,疊貨,thia̍p-huè,
20197,近反義詞不單列詞目者,落殼,lak-khak,
20198,近反義詞不單列詞目者,凡若,huān-nā,
20199,近反義詞不單列詞目者,挨挨𤲍𤲍,e-e-kheh-kheh,
20200,近反義詞不單列詞目者,蒂頭仔,,
20201,近反義詞不單列詞目者,死痠,,
20202,近反義詞不單列詞目者,鹹水貨,,
20203,近反義詞不單列詞目者,雨閘,,
20204,近反義詞不單列詞目者,雨棚,,
20205,近反義詞不單列詞目者,翻轉工,,
20206,近反義詞不單列詞目者,翻轉日,,
20207,近反義詞不單列詞目者,電批,,
20208,近反義詞不單列詞目者,電腦批,,
20209,近反義詞不單列詞目者,頭毛店,,
20210,近反義詞不單列詞目者,頓蹄,,
20211,近反義詞不單列詞目者,飽米,,
20212,近反義詞不單列詞目者,剺花,le̍h-hue,
20213,近反義詞不單列詞目者,墓錢,,
20214,近反義詞不單列詞目者,古仔紙,,
20215,近反義詞不單列詞目者,寢頭仔,,
20216,近反義詞不單列詞目者,拄開始,,
20217,近反義詞不單列詞目者,致重,,
20218,近反義詞不單列詞目者,對面風,,
20219,近反義詞不單列詞目者,相耽誤,sann-tānn-gōo/sio-tānn-gōo,
20220,近反義詞不單列詞目者,睏大豬,,
20221,近反義詞不單列詞目者,歌仔簿,,
20222,近反義詞不單列詞目者,君子步,,
20223,近反義詞不單列詞目者,歹戲拖棚,,
20224,近反義詞不單列詞目者,綿綿精精,,
20225,近反義詞不單列詞目者,慢氣,bān-khuì,
20226,近反義詞不單列詞目者,緊跤緊手,,
20227,近反義詞不單列詞目者,輕便,khing-piān,
20228,近反義詞不單列詞目者,大𡳞脬,,
20229,近反義詞不單列詞目者,滿山紅,muá-suann-âng,
20230,近反義詞不單列詞目者,報春花,,
20231,近反義詞不單列詞目者,無張無持,,
20232,近反義詞不單列詞目者,究勘,kiù-khàm,
20233,近反義詞不單列詞目者,窮究,khîng-kiù,
20234,近反義詞不單列詞目者,冇談,,
20235,近反義詞不單列詞目者,蓮苞頭,liân-pôo-thâu,
20236,近反義詞不單列詞目者,蝦繭,hê-kián,
20237,近反義詞不單列詞目者,究真,kiù-tsin,
20239,近反義詞不單列詞目者,窮實,khîng-si̍t,
20240,近反義詞不單列詞目者,羊頭眩,,
20241,近反義詞不單列詞目者,閬雨站,,
20242,近反義詞不單列詞目者,閬蹘,làng-liâu,
20243,近反義詞不單列詞目者,溜閃,,
20244,近反義詞不單列詞目者,辟走,phiah-tsáu,
20245,近反義詞不單列詞目者,浸水,,
20246,近反義詞不單列詞目者,激水,,
20247,近反義詞不單列詞目者,鬧熱滾滾,lāu-jia̍t-kún-kún,
20248,近反義詞不單列詞目者,樹奶索仔,,
20249,近反義詞不單列詞目者,樹奶箍仔,,
20250,近反義詞不單列詞目者,孽仔話,,
20251,近反義詞不單列詞目者,孽畜仔話,gia̍t-thiok-á-uē,
20252,近反義詞不單列詞目者,燃茶,,
20254,近反義詞不單列詞目者,燈籃仔花,ting-nâ-á-hue,
20255,近反義詞不單列詞目者,燒燙燙,,
20256,近反義詞不單列詞目者,發毛,,
20257,近反義詞不單列詞目者,賴賴行,,
20258,近反義詞不單列詞目者,鋸屑,,
20259,近反義詞不單列詞目者,沬水,,
20260,近反義詞不單列詞目者,藏水,,
20261,近反義詞不單列詞目者,藏頭沬,,
20262,近反義詞不單列詞目者,鑽沬,,
20263,近反義詞不單列詞目者,抾菜,khioh tshài,
20264,近反義詞不單列詞目者,練先,,
20265,近反義詞不單列詞目者,歌仔仙,,
20266,近反義詞不單列詞目者,毛毛仔雨,,
20267,近反義詞不單列詞目者,下跤手,,
20268,近反義詞不單列詞目者,媒人錢較貴聘金禮,,
20269,近反義詞不單列詞目者,加冠禮較濟戲金銀,,
20270,近反義詞不單列詞目者,面頂百,,
20271,近反義詞不單列詞目者,頭面頂百,,
20272,近反義詞不單列詞目者,頷珠,,
20273,近反義詞不單列詞目者,雄骨,hiông-kut,
20274,近反義詞不單列詞目者,鴨公聲,,
20275,近反義詞不單列詞目者,䆀豆,,
20276,近反義詞不單列詞目者,粉豆,,
20277,近反義詞不單列詞目者,歹氣,,
20278,近反義詞不單列詞目者,臨時臨陣,lîm-sî-lîm-tsūn/lîm-sî-lîm-tsūn　又唸作liâm-sî-liâm-tsūn,
20279,近反義詞不單列詞目者,圓栱橋,uân-kong-kiô,
20280,近反義詞不單列詞目者,鮢鱖魚,,
20281,近反義詞不單列詞目者,舊症,,
20282,近反義詞不單列詞目者,久年病,,
20283,近反義詞不單列詞目者,薰篋仔,,
20284,近反義詞不單列詞目者,蟳仁,,
20285,近反義詞不單列詞目者,蟳仔卵,,
20286,近反義詞不單列詞目者,雙糕粿,,
20287,近反義詞不單列詞目者,雙糕（仔）,,
20288,近反義詞不單列詞目者,鹹酸苦澀,,
20289,近反義詞不單列詞目者,相趁相喊,sio-thàn-sio-hán,
20290,近反義詞不單列詞目者,鐵釘夾,thih-ting-ngeh,
20291,近反義詞不單列詞目者,通好,thang-hó,
20292,近反義詞不單列詞目者,變啥物魍,,
20293,近反義詞不單列詞目者,變啥空,,
20294,近反義詞不單列詞目者,變啥空頭,,
20295,近反義詞不單列詞目者,變啥齣頭,,
20296,近反義詞不單列詞目者,變無路,piàn-bô-lōo/pìnn-bô-lōo,
20297,近反義詞不單列詞目者,變無空,piàn-bô-khang/pìnn-bô-khang,
