詞目id,詞目類型,漢字,羅馬字,分類
159,主詞目,刁難,thiau-lân,"心理狀態,待人處事"
160,主詞目,人權,jîn-khuân/lîn-khuân,法律
161,主詞目,丈,tn̄g,數詞、量詞
162,主詞目,三,sam,數詞、量詞
163,主詞目,三,sann,數詞、量詞
164,主詞目,上,tsiūnn,肢體動作
165,主詞目,上,tshiūnn,肢體動作
166,主詞目,上,siōng,"空間方位,性質、程度,副詞"
167,主詞目,下,ē,"空間方位,性質、程度,數詞、量詞"
168,主詞目,下,hā,"空間方位,性質、程度,數詞、量詞"
169,主詞目,下,hē,心理活動
170,主詞目,低,kē,"空間方位,地位、身世、背景,才智能力,性質、程度"
171,主詞目,个,ê,"代名詞,數詞、量詞"
172,主詞目,丸,uân,"事、物泛稱,數詞、量詞"
173,主詞目,久,kú,"時間節令,性質、程度"
174,主詞目,么,io,數詞、量詞
175,主詞目,乞,khit,交際應酬
176,主詞目,也,iā,連詞、介詞
177,主詞目,亡,bông,生養老死
178,主詞目,凡,huân,事、物泛稱
179,主詞目,凡,huān,副詞
180,主詞目,千,tshian,"性質、程度,數詞、量詞"
181,主詞目,千,tshing,"性質、程度,數詞、量詞"
182,主詞目,叉,tshe,"待人處事,事、物泛稱"
183,主詞目,口,kháu,"生理構造,建築物、結構,數詞、量詞"
184,主詞目,土,thóo,"地理,資源礦物,個性風格,氣質態度"
185,主詞目,士,sū,相關用語
186,主詞目,大,ta,語言、文字、符號
187,主詞目,大,tāi,形貌、體積
188,主詞目,大,tuā,形貌、體積
189,主詞目,女,lí/lú,泛稱
190,主詞目,女,lú,泛稱
191,主詞目,子,tsí,"動物形體、行為,植物形體、狀態,事、物泛稱"
192,主詞目,子,tsú,"時間節令,泛稱,宗族、家庭,稱謂輩分"
193,主詞目,子,jí/lí,事、物泛稱
194,主詞目,寸,tshùn,"體態樣貌,形貌、體積,數詞、量詞"
195,主詞目,小,siáu,性質、程度
196,主詞目,小,sió,性質、程度
197,主詞目,山,san,"地理,自然現象"
198,主詞目,山,suann,"地理,自然現象"
199,主詞目,工,kang,"時間節令,相關用語,數詞、量詞"
200,主詞目,工,kong,戲劇、音樂
201,主詞目,己,kí,"天文,稱謂輩分"
202,主詞目,巳,tsī,時間節令
203,主詞目,巾,kin/kun,生活用品
204,主詞目,干,kan,"時間節令,軍事,一般動詞-行為動詞"
205,主詞目,弓,king,"軍事,數詞、量詞"
206,主詞目,才,tsâi,才智能力
207,主詞目,才,tsiah,副詞
208,主詞目,才,tshâi,數詞、量詞
209,主詞目,下𦜆,ē-ham,生理構造
210,主詞目,丈人,tiūnn-lâng,"兩性、婚姻,稱謂輩分"
211,主詞目,三八,sam-pat,個性風格
212,主詞目,土人,thóo-lâng,"個性風格,氣質態度"
213,主詞目,大人,tāi-jîn/tāi-lîn,稱謂輩分
214,主詞目,大人,tuā-lâng,泛稱
215,主詞目,大力,tuā-la̍t,性質、程度
216,主詞目,小人,siáu-jîn/siáu-lîn,"泛稱,個性風格"
217,主詞目,川七,tshuan-tshit,"蔬果作物,醫療保健,食物、飲料、煙酒"
218,主詞目,工人,kang-lâng,科技、工業
219,主詞目,丈人公,tiūnn-lâng-kong,"兩性、婚姻,稱謂輩分"
220,主詞目,三七仔,sam-tshit-á,服務業及其他
